No,Block,Date,10% percentile,25% percentile,50% percentile,75% percentile,100% percentile
1,890816,2025-04-04 11:59:14,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),200.0 (sats/vB)
2,890815,2025-04-04 11:58:41,1.01 (sats/vB),1.01 (sats/vB),1.1 (sats/vB),2.98 (sats/vB),300.0 (sats/vB)
3,890814,2025-04-04 11:48:42,1.22 (sats/vB),2.0 (sats/vB),2.76 (sats/vB),3.54 (sats/vB),437.96 (sats/vB)
4,890813,2025-04-04 11:31:06,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),26.08 (sats/vB)
5,890812,2025-04-04 11:30:22,1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),2.0 (sats/vB),263.16 (sats/vB)
6,890811,2025-04-04 11:24:43,1.01 (sats/vB),1.01 (sats/vB),2.0 (sats/vB),3.0 (sats/vB),263.16 (sats/vB)
7,890810,2025-04-04 11:11:44,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),100.0 (sats/vB)
8,890809,2025-04-04 11:10:09,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),2.13 (sats/vB),249.89 (sats/vB)
9,890808,2025-04-04 10:59:50,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.39 (sats/vB),502.25 (sats/vB)
10,890807,2025-04-04 10:52:19,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),100.0 (sats/vB)
11,890806,2025-04-04 10:49:14,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),150.49 (sats/vB)
12,890805,2025-04-04 10:48:03,1.0 (sats/vB),1.0 (sats/vB),1.02 (sats/vB),2.4 (sats/vB),100.0 (sats/vB)
13,890804,2025-04-04 10:41:59,1.54 (sats/vB),2.0 (sats/vB),2.97 (sats/vB),3.5 (sats/vB),200.0 (sats/vB)
14,890803,2025-04-04 10:20:36,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),100.0 (sats/vB)
15,890802,2025-04-04 10:19:41,1.01 (sats/vB),2.0 (sats/vB),2.34 (sats/vB),3.22 (sats/vB),183.09 (sats/vB)
16,890801,2025-04-04 10:06:44,1.01 (sats/vB),1.25 (sats/vB),2.0 (sats/vB),2.12 (sats/vB),122.62 (sats/vB)
17,890800,2025-04-04 10:04:54,2.97 (sats/vB),3.0 (sats/vB),3.42 (sats/vB),5.67 (sats/vB),603.39 (sats/vB)
18,890799,2025-04-04 09:32:16,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),2.0 (sats/vB),200.0 (sats/vB)
19,890798,2025-04-04 09:23:42,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),100.0 (sats/vB)
20,890797,2025-04-04 09:20:40,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),100.0 (sats/vB)
21,890796,2025-04-04 09:20:11,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),2.01 (sats/vB),150.61 (sats/vB)
22,890795,2025-04-04 09:13:54,1.07 (sats/vB),1.99 (sats/vB),2.24 (sats/vB),3.01 (sats/vB),110.0 (sats/vB)
23,890794,2025-04-04 09:00:31,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),300.0 (sats/vB)
24,890793,2025-04-04 08:56:23,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),209.15 (sats/vB)
25,890792,2025-04-04 08:52:59,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.09 (sats/vB),200.0 (sats/vB)
26,890791,2025-04-04 08:46:48,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),20.06 (sats/vB)
27,890790,2025-04-04 08:46:39,1.07 (sats/vB),1.45 (sats/vB),2.22 (sats/vB),3.01 (sats/vB),250.0 (sats/vB)
28,890789,2025-04-04 08:36:54,2.0 (sats/vB),2.04 (sats/vB),3.0 (sats/vB),3.46 (sats/vB),200.0 (sats/vB)
29,890788,2025-04-04 08:17:12,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.07 (sats/vB),100.0 (sats/vB)
30,890787,2025-04-04 08:14:44,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.2 (sats/vB),150.0 (sats/vB)
31,890786,2025-04-04 08:08:45,1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),1.07 (sats/vB),445.78 (sats/vB)
32,890785,2025-04-04 08:05:31,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.07 (sats/vB),443.88 (sats/vB)
33,890784,2025-04-04 08:02:06,1.0 (sats/vB),1.0 (sats/vB),1.06 (sats/vB),1.11 (sats/vB),445.47 (sats/vB)
34,890783,2025-04-04 07:56:12,1.01 (sats/vB),1.01 (sats/vB),1.13 (sats/vB),3.0 (sats/vB),200.96 (sats/vB)
35,890782,2025-04-04 07:44:03,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),300.2 (sats/vB)
36,890781,2025-04-04 07:39:40,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),100.0 (sats/vB)
37,890780,2025-04-04 07:37:52,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),100.0 (sats/vB)
38,890779,2025-04-04 07:35:04,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),100.0 (sats/vB)
39,890778,2025-04-04 07:30:26,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.2 (sats/vB),101.58 (sats/vB)
40,890777,2025-04-04 07:24:42,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),60.0 (sats/vB)
41,890776,2025-04-04 07:23:58,1.0 (sats/vB),1.0 (sats/vB),1.07 (sats/vB),2.99 (sats/vB),500.0 (sats/vB)
42,890775,2025-04-04 07:13:08,1.0 (sats/vB),1.0 (sats/vB),1.08 (sats/vB),3.02 (sats/vB),100.0 (sats/vB)
43,890774,2025-04-04 07:03:37,1.0 (sats/vB),1.09 (sats/vB),1.52 (sats/vB),2.01 (sats/vB),156.77 (sats/vB)
44,890773,2025-04-04 07:01:47,2.19 (sats/vB),3.0 (sats/vB),3.6 (sats/vB),4.5 (sats/vB),728.1 (sats/vB)
45,890772,2025-04-04 06:34:55,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),2.0 (sats/vB),300.01 (sats/vB)
46,890771,2025-04-04 06:29:02,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.2 (sats/vB),100.0 (sats/vB)
47,890770,2025-04-04 06:22:23,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.04 (sats/vB),150.86 (sats/vB)
48,890769,2025-04-04 06:17:41,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.07 (sats/vB),100.0 (sats/vB)
49,890768,2025-04-04 06:15:53,1.0 (sats/vB),1.0 (sats/vB),1.07 (sats/vB),2.28 (sats/vB),171.09 (sats/vB)
50,890767,2025-04-04 06:09:06,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),2.02 (sats/vB),155.06 (sats/vB)
51,890766,2025-04-04 06:02:43,1.0 (sats/vB),1.0 (sats/vB),1.59 (sats/vB),3.26 (sats/vB),121.16 (sats/vB)
52,890765,2025-04-04 05:54:38,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),103.0 (sats/vB)
53,890764,2025-04-04 05:51:04,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),1.11 (sats/vB),104.17 (sats/vB)
54,890763,2025-04-04 05:49:31,2.01 (sats/vB),2.02 (sats/vB),3.01 (sats/vB),4.0 (sats/vB),256.47 (sats/vB)
55,890762,2025-04-04 05:40:07,1.98 (sats/vB),2.01 (sats/vB),2.63 (sats/vB),3.02 (sats/vB),104.71 (sats/vB)
56,890761,2025-04-04 05:38:22,3.37 (sats/vB),4.0 (sats/vB),4.22 (sats/vB),5.52 (sats/vB),500.0 (sats/vB)
57,890760,2025-04-04 05:06:23,1.11 (sats/vB),1.11 (sats/vB),2.02 (sats/vB),3.97 (sats/vB),72.79 (sats/vB)
58,890759,2025-04-04 05:05:12,1.73 (sats/vB),2.14 (sats/vB),3.0 (sats/vB),3.6 (sats/vB),300.0 (sats/vB)
59,890758,2025-04-04 05:01:39,3.46 (sats/vB),4.0 (sats/vB),4.44 (sats/vB),5.56 (sats/vB),247.41 (sats/vB)
60,890757,2025-04-04 04:38:03,2.01 (sats/vB),2.4 (sats/vB),3.42 (sats/vB),4.03 (sats/vB),300.0 (sats/vB)
61,890756,2025-04-04 04:25:33,2.01 (sats/vB),2.4 (sats/vB),3.48 (sats/vB),4.03 (sats/vB),250.0 (sats/vB)
62,890755,2025-04-04 04:09:43,2.01 (sats/vB),2.34 (sats/vB),3.41 (sats/vB),4.01 (sats/vB),317.46 (sats/vB)
63,890754,2025-04-04 03:55:46,2.0 (sats/vB),2.27 (sats/vB),3.19 (sats/vB),4.0 (sats/vB),200.0 (sats/vB)
64,890753,2025-04-04 03:44:17,1.08 (sats/vB),2.0 (sats/vB),3.0 (sats/vB),4.0 (sats/vB),155.63 (sats/vB)
65,890752,2025-04-04 03:42:00,1.09 (sats/vB),1.51 (sats/vB),3.03 (sats/vB),4.0 (sats/vB),56.5 (sats/vB)
66,890751,2025-04-04 03:41:11,2.0 (sats/vB),2.4 (sats/vB),3.47 (sats/vB),4.03 (sats/vB),104.17 (sats/vB)
67,890750,2025-04-04 03:30:14,1.09 (sats/vB),1.09 (sats/vB),3.0 (sats/vB),4.0 (sats/vB),100.0 (sats/vB)
68,890749,2025-04-04 03:28:57,2.0 (sats/vB),2.25 (sats/vB),3.04 (sats/vB),4.0 (sats/vB),302.14 (sats/vB)
69,890748,2025-04-04 03:19:33,1.1 (sats/vB),1.18 (sats/vB),3.03 (sats/vB),4.0 (sats/vB),150.75 (sats/vB)
70,890747,2025-04-04 03:18:27,2.0 (sats/vB),2.28 (sats/vB),3.35 (sats/vB),4.02 (sats/vB),924.07 (sats/vB)
71,890746,2025-04-04 03:06:58,1.5 (sats/vB),2.12 (sats/vB),3.02 (sats/vB),4.0 (sats/vB),489.58 (sats/vB)
72,890745,2025-04-04 02:59:09,1.74 (sats/vB),2.01 (sats/vB),2.28 (sats/vB),3.83 (sats/vB),288.51 (sats/vB)
73,890744,2025-04-04 02:54:22,3.01 (sats/vB),3.6 (sats/vB),4.0 (sats/vB),5.0 (sats/vB),212.77 (sats/vB)
74,890743,2025-04-04 02:41:19,2.96 (sats/vB),3.13 (sats/vB),4.2 (sats/vB),5.0 (sats/vB),529.1 (sats/vB)
75,890742,2025-04-04 02:27:12,1.81 (sats/vB),2.0 (sats/vB),2.01 (sats/vB),4.0 (sats/vB),603.19 (sats/vB)
76,890741,2025-04-04 02:21:53,2.01 (sats/vB),3.0 (sats/vB),4.01 (sats/vB),5.43 (sats/vB),100.08 (sats/vB)
77,890740,2025-04-04 02:20:32,2.01 (sats/vB),3.01 (sats/vB),4.34 (sats/vB),5.58 (sats/vB),52.08 (sats/vB)
78,890739,2025-04-04 02:20:40,3.0 (sats/vB),3.5 (sats/vB),4.49 (sats/vB),5.01 (sats/vB),300.31 (sats/vB)
79,890738,2025-04-04 02:07:59,3.0 (sats/vB),3.16 (sats/vB),4.24 (sats/vB),5.0 (sats/vB),161.85 (sats/vB)
80,890737,2025-04-04 01:56:41,2.01 (sats/vB),2.01 (sats/vB),2.14 (sats/vB),4.03 (sats/vB),220.0 (sats/vB)
81,890736,2025-04-04 01:53:08,2.25 (sats/vB),2.83 (sats/vB),3.33 (sats/vB),5.0 (sats/vB),100.0 (sats/vB)
82,890735,2025-04-04 01:45:35,3.0 (sats/vB),3.0 (sats/vB),3.0 (sats/vB),3.06 (sats/vB),500.0 (sats/vB)
83,890734,2025-04-04 01:43:03,3.28 (sats/vB),3.55 (sats/vB),4.0 (sats/vB),5.32 (sats/vB),297.62 (sats/vB)
84,890733,2025-04-04 01:37:08,4.02 (sats/vB),4.56 (sats/vB),5.0 (sats/vB),5.04 (sats/vB),102.86 (sats/vB)
85,890732,2025-04-04 01:34:24,5.18 (sats/vB),6.0 (sats/vB),6.94 (sats/vB),8.27 (sats/vB),300.0 (sats/vB)
86,890731,2025-04-04 01:04:18,5.0 (sats/vB),6.0 (sats/vB),7.0 (sats/vB),9.75 (sats/vB),800.0 (sats/vB)
87,890730,2025-04-04 00:23:04,3.09 (sats/vB),3.47 (sats/vB),4.53 (sats/vB),6.0 (sats/vB),300.0 (sats/vB)
88,890729,2025-04-04 00:01:31,3.0 (sats/vB),3.02 (sats/vB),4.0 (sats/vB),5.0 (sats/vB),339.56 (sats/vB)
89,890728,2025-04-03 23:43:35,2.24 (sats/vB),3.0 (sats/vB),3.32 (sats/vB),4.57 (sats/vB),260.39 (sats/vB)
90,890727,2025-04-03 23:28:46,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),180.72 (sats/vB)
91,890726,2025-04-03 23:27:34,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),2.94 (sats/vB),313.4 (sats/vB)
92,890725,2025-04-03 23:21:30,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),200.0 (sats/vB)
93,890724,2025-04-03 23:20:41,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),2.34 (sats/vB),201.13 (sats/vB)
94,890723,2025-04-03 23:15:08,1.01 (sats/vB),1.09 (sats/vB),2.01 (sats/vB),3.09 (sats/vB),200.0 (sats/vB)
95,890722,2025-04-03 23:12:35,2.0 (sats/vB),2.05 (sats/vB),3.0 (sats/vB),4.0 (sats/vB),709.22 (sats/vB)
96,890721,2025-04-03 23:03:11,2.22 (sats/vB),2.99 (sats/vB),3.02 (sats/vB),4.26 (sats/vB),250.0 (sats/vB)
97,890720,2025-04-03 22:48:24,1.01 (sats/vB),1.02 (sats/vB),1.05 (sats/vB),1.1 (sats/vB),100.0 (sats/vB)
98,890719,2025-04-03 22:48:23,1.67 (sats/vB),2.01 (sats/vB),3.0 (sats/vB),3.52 (sats/vB),150.0 (sats/vB)
99,890718,2025-04-03 22:42:28,2.0 (sats/vB),2.28 (sats/vB),3.0 (sats/vB),4.0 (sats/vB),200.0 (sats/vB)
100,890717,2025-04-03 22:33:52,1.5 (sats/vB),1.61 (sats/vB),1.85 (sats/vB),1.96 (sats/vB),34.48 (sats/vB)
101,890716,2025-04-03 22:33:39,2.0 (sats/vB),2.01 (sats/vB),2.41 (sats/vB),3.0 (sats/vB),105.82 (sats/vB)
102,890715,2025-04-03 22:33:03,3.0 (sats/vB),3.02 (sats/vB),3.97 (sats/vB),4.47 (sats/vB),300.0 (sats/vB)
103,890714,2025-04-03 22:27:58,null (sats/vB),null (sats/vB),null (sats/vB),null (sats/vB),0.0 (sats/vB)
104,890713,2025-04-03 22:27:45,4.47 (sats/vB),5.0 (sats/vB),6.04 (sats/vB),10.0 (sats/vB),972.54 (sats/vB)
105,890712,2025-04-03 21:53:30,2.96 (sats/vB),3.0 (sats/vB),3.5 (sats/vB),5.0 (sats/vB),310.0 (sats/vB)
106,890711,2025-04-03 21:35:32,2.0 (sats/vB),2.01 (sats/vB),3.0 (sats/vB),3.39 (sats/vB),200.0 (sats/vB)
107,890710,2025-04-03 21:27:28,3.0 (sats/vB),3.02 (sats/vB),4.02 (sats/vB),6.0 (sats/vB),468.75 (sats/vB)
108,890709,2025-04-03 21:03:12,2.02 (sats/vB),2.4 (sats/vB),3.01 (sats/vB),4.77 (sats/vB),955.9 (sats/vB)
109,890708,2025-04-03 20:46:18,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),2.34 (sats/vB),530.91 (sats/vB)
110,890707,2025-04-03 20:39:09,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.21 (sats/vB),100.0 (sats/vB)
111,890706,2025-04-03 20:36:45,1.5 (sats/vB),1.98 (sats/vB),2.4 (sats/vB),3.6 (sats/vB),310.0 (sats/vB)
112,890705,2025-04-03 20:30:15,2.0 (sats/vB),2.28 (sats/vB),3.0 (sats/vB),4.0 (sats/vB),4077.71 (sats/vB)
113,890704,2025-04-03 20:14:12,1.93 (sats/vB),2.0 (sats/vB),3.0 (sats/vB),4.0 (sats/vB),355.5 (sats/vB)
114,890703,2025-04-03 20:03:42,2.0 (sats/vB),2.12 (sats/vB),3.0 (sats/vB),4.8 (sats/vB),774.27 (sats/vB)
115,890702,2025-04-03 19:42:15,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.26 (sats/vB),4099.4 (sats/vB)
116,890701,2025-04-03 19:36:57,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.93 (sats/vB),207.54 (sats/vB)
117,890700,2025-04-03 19:32:14,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),200.0 (sats/vB)
118,890699,2025-04-03 19:28:54,1.0 (sats/vB),1.0 (sats/vB),1.93 (sats/vB),3.0 (sats/vB),502.22 (sats/vB)
119,890698,2025-04-03 19:18:51,1.0 (sats/vB),1.0 (sats/vB),1.2 (sats/vB),2.4 (sats/vB),150.0 (sats/vB)
120,890697,2025-04-03 19:14:35,1.97 (sats/vB),2.03 (sats/vB),3.0 (sats/vB),4.03 (sats/vB),301.04 (sats/vB)
121,890696,2025-04-03 18:56:44,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),2.04 (sats/vB),215.74 (sats/vB)
122,890695,2025-04-03 18:48:59,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),211.25 (sats/vB)
123,890694,2025-04-03 18:46:11,1.0 (sats/vB),1.0 (sats/vB),2.01 (sats/vB),3.0 (sats/vB),288.91 (sats/vB)
124,890693,2025-04-03 18:38:26,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),2.21 (sats/vB),200.96 (sats/vB)
125,890692,2025-04-03 18:32:32,1.0 (sats/vB),1.2 (sats/vB),2.25 (sats/vB),3.11 (sats/vB),106.38 (sats/vB)
126,890691,2025-04-03 18:29:12,1.0 (sats/vB),1.2 (sats/vB),2.24 (sats/vB),3.02 (sats/vB),100.0 (sats/vB)
127,890690,2025-04-03 18:28:25,1.0 (sats/vB),1.75 (sats/vB),2.24 (sats/vB),3.04 (sats/vB),100.0 (sats/vB)
128,890689,2025-04-03 18:27:53,1.0 (sats/vB),1.6 (sats/vB),2.4 (sats/vB),3.68 (sats/vB),200.0 (sats/vB)
129,890688,2025-04-03 18:22:57,1.0 (sats/vB),1.0 (sats/vB),1.23 (sats/vB),3.0 (sats/vB),467.83 (sats/vB)
130,890687,2025-04-03 18:16:42,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),106.14 (sats/vB)
131,890686,2025-04-03 18:15:51,1.9 (sats/vB),2.01 (sats/vB),2.13 (sats/vB),2.59 (sats/vB),120.0 (sats/vB)
132,890685,2025-04-03 18:14:34,3.0 (sats/vB),3.0 (sats/vB),3.6 (sats/vB),5.0 (sats/vB),544.09 (sats/vB)
133,890684,2025-04-03 17:42:28,1.0 (sats/vB),1.02 (sats/vB),1.02 (sats/vB),2.0 (sats/vB),250.0 (sats/vB)
134,890683,2025-04-03 17:40:11,1.01 (sats/vB),1.13 (sats/vB),2.24 (sats/vB),3.09 (sats/vB),104.71 (sats/vB)
135,890682,2025-04-03 17:34:10,1.2 (sats/vB),1.51 (sats/vB),2.77 (sats/vB),3.98 (sats/vB),300.0 (sats/vB)
136,890681,2025-04-03 17:32:10,1.58 (sats/vB),1.84 (sats/vB),2.0 (sats/vB),2.01 (sats/vB),70.0 (sats/vB)
137,890680,2025-04-03 17:31:08,2.04 (sats/vB),2.98 (sats/vB),3.0 (sats/vB),4.0 (sats/vB),968.53 (sats/vB)
138,890679,2025-04-03 17:15:39,3.0 (sats/vB),3.01 (sats/vB),4.0 (sats/vB),5.02 (sats/vB),451.0 (sats/vB)
139,890678,2025-04-03 16:50:18,2.28 (sats/vB),3.0 (sats/vB),3.02 (sats/vB),4.5 (sats/vB),297.63 (sats/vB)
140,890677,2025-04-03 16:21:57,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),1.29 (sats/vB),150.0 (sats/vB)
141,890676,2025-04-03 16:16:54,1.6 (sats/vB),2.0 (sats/vB),2.33 (sats/vB),3.06 (sats/vB),200.0 (sats/vB)
142,890675,2025-04-03 16:05:38,2.02 (sats/vB),2.97 (sats/vB),3.01 (sats/vB),4.02 (sats/vB),300.0 (sats/vB)
143,890674,2025-04-03 15:43:29,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),40.0 (sats/vB)
144,890673,2025-04-03 15:43:15,1.01 (sats/vB),1.01 (sats/vB),2.0 (sats/vB),3.0 (sats/vB),709.22 (sats/vB)
145,890672,2025-04-03 15:33:42,1.01 (sats/vB),1.04 (sats/vB),2.12 (sats/vB),3.01 (sats/vB),190.0 (sats/vB)
146,890671,2025-04-03 15:21:28,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),100.0 (sats/vB)
147,890670,2025-04-03 15:21:04,1.48 (sats/vB),2.02 (sats/vB),3.0 (sats/vB),3.71 (sats/vB),253.99 (sats/vB)
148,890669,2025-04-03 15:02:30,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),1.2 (sats/vB),121.87 (sats/vB)
149,890668,2025-04-03 14:59:28,2.0 (sats/vB),2.14 (sats/vB),3.0 (sats/vB),3.65 (sats/vB),575.22 (sats/vB)
150,890667,2025-04-03 14:38:53,1.2 (sats/vB),2.01 (sats/vB),2.98 (sats/vB),3.54 (sats/vB),150.75 (sats/vB)
151,890666,2025-04-03 14:31:32,2.0 (sats/vB),2.17 (sats/vB),3.0 (sats/vB),3.62 (sats/vB),333.0 (sats/vB)
152,890665,2025-04-03 14:03:44,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.02 (sats/vB),10.0 (sats/vB)
153,890664,2025-04-03 14:03:20,1.96 (sats/vB),2.01 (sats/vB),3.0 (sats/vB),3.58 (sats/vB),432.69 (sats/vB)
154,890663,2025-04-03 13:53:16,1.51 (sats/vB),2.06 (sats/vB),3.0 (sats/vB),3.65 (sats/vB),170.65 (sats/vB)
155,890662,2025-04-03 13:24:41,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),3.6 (sats/vB)
156,890661,2025-04-03 13:24:52,1.2 (sats/vB),2.0 (sats/vB),3.0 (sats/vB),3.4 (sats/vB),264.55 (sats/vB)
157,890660,2025-04-03 13:06:31,1.0 (sats/vB),1.1 (sats/vB),2.11 (sats/vB),3.0 (sats/vB),60.0 (sats/vB)
158,890659,2025-04-03 13:03:49,1.0 (sats/vB),1.0 (sats/vB),2.0 (sats/vB),3.0 (sats/vB),150.0 (sats/vB)
159,890658,2025-04-03 13:02:35,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.03 (sats/vB),71.43 (sats/vB)
160,890657,2025-04-03 12:58:32,1.2 (sats/vB),2.0 (sats/vB),2.73 (sats/vB),3.3 (sats/vB),150.75 (sats/vB)
161,890656,2025-04-03 12:43:07,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),2.0 (sats/vB),221.82 (sats/vB)
162,890655,2025-04-03 12:40:39,1.02 (sats/vB),2.0 (sats/vB),2.28 (sats/vB),3.06 (sats/vB),300.3 (sats/vB)
163,890654,2025-04-03 12:31:17,1.5 (sats/vB),2.01 (sats/vB),2.8 (sats/vB),3.4 (sats/vB),181.82 (sats/vB)
164,890653,2025-04-03 12:16:37,1.04 (sats/vB),2.0 (sats/vB),2.4 (sats/vB),3.06 (sats/vB),300.0 (sats/vB)
